,adj1,adj2,adj3,adj4
ENSG00000091831-ENSG00000107562,0.0,-1.0,0.0,0.0
ENSG00000081237-ENSG00000177707,0.0,-1.0,0.0,0.0
ENSG00000065325-ENSG00000108688,0.0,0.0,0.0,0.0
ENSG00000165197-ENSG00000169071,0.0,0.0,0.0,0.0
ENSG00000119912-ENSG00000171631,0.0,0.0,0.0,0.0
ENSG00000128564-ENSG00000243772,0.0,0.0,0.0,0.0
ENSG00000175514-ENSG00000183662,0.0,0.0,0.0,0.0
ENSG00000101405-ENSG00000111796,0.0,0.0,0.0,0.0
ENSG00000168621-ENSG00000188822,0.0,0.0,0.0,0.0
ENSG00000143184-ENSG00000182578,0.0,0.0,0.0,0.0
ENSG00000103855-ENSG00000170075,0.0,-1.0,0.0,0.0
ENSG00000122679-ENSG00000136040,0.0,-1.0,0.0,0.0
ENSG00000134760-ENSG00000182168,0.0,0.0,0.0,0.0
ENSG00000157017-ENSG00000175206,0.0,0.0,0.0,0.0
ENSG00000112195-ENSG00000243364,0.0,0.0,0.0,0.0
ENSG00000140443-ENSG00000164761,0.0,0.0,0.0,0.0
ENSG00000179934-ENSG00000183087,0.0,0.0,0.0,0.0
ENSG00000145040-ENSG00000278195,0.0,0.0,0.0,0.0
ENSG00000073008-ENSG00000092445,0.0,-1.0,0.0,0.0
ENSG00000118257-ENSG00000172179,0.0,0.0,0.0,0.0
ENSG00000103855-ENSG00000120217,0.0,-1.0,0.0,0.0
ENSG00000128271-ENSG00000139269,0.0,0.0,0.0,0.0
ENSG00000157017-ENSG00000164690,0.0,0.0,0.0,0.0
ENSG00000157168-ENSG00000189056,0.0,-1.0,0.0,0.0
ENSG00000026103-ENSG00000117400,0.0,0.0,0.0,0.0
ENSG00000078549-ENSG00000085741,0.0,0.0,0.0,0.0
ENSG00000126895-ENSG00000139187,0.0,0.0,0.0,0.0
ENSG00000139292-ENSG00000197635,0.0,0.0,0.0,0.0
ENSG00000184995-ENSG00000205809,0.0,0.0,0.0,0.0
ENSG00000101017-ENSG00000121858,0.0,0.0,0.0,0.0
ENSG00000164690-ENSG00000275302,0.0,0.0,0.0,0.0
ENSG00000130283-ENSG00000170128,0.0,-1.0,0.0,0.0
ENSG00000050628-ENSG00000081237,0.0,-1.0,0.0,0.0
ENSG00000135218-ENSG00000146648,0.0,-1.0,0.0,0.0
ENSG00000111291-ENSG00000169242,0.0,0.0,0.0,0.0
ENSG00000117560-ENSG00000134830,0.0,0.0,0.0,0.0
ENSG00000090776-ENSG00000276070,0.0,0.0,0.0,0.0
ENSG00000162998-ENSG00000169836,0.0,-1.0,0.0,0.0
ENSG00000117400-ENSG00000163501,0.0,0.0,0.0,0.0
ENSG00000180616-ENSG00000183087,0.0,-1.0,0.0,0.0
ENSG00000013725-ENSG00000101017,0.0,0.0,0.0,0.0
ENSG00000071677-ENSG00000170075,0.0,0.0,0.0,0.0
ENSG00000182985-ENSG00000184613,0.0,-1.0,0.0,0.0
ENSG00000128602-ENSG00000137801,0.0,-1.0,0.0,0.0
ENSG00000126895-ENSG00000165370,0.0,0.0,0.0,0.0
ENSG00000105699-ENSG00000156234,0.0,0.0,0.0,0.0
ENSG00000134443-ENSG00000172156,0.0,0.0,0.0,0.0
ENSG00000169442-ENSG00000197746,0.0,0.0,0.0,0.0
ENSG00000184500-ENSG00000185008,0.0,-1.0,0.0,0.0
ENSG00000141736-ENSG00000147869,0.0,0.0,0.0,0.0
ENSG00000113580-ENSG00000135744,0.0,-1.0,0.0,0.0
