,adj1,adj2,adj3,adj4
ENSG00000156076-ENSG00000276085,0.0,0.0,0.0,0.0
ENSG00000069493-ENSG00000139193,0.0,-1.0,0.0,0.0
ENSG00000091831-ENSG00000108702,0.0,0.0,0.0,0.0
ENSG00000111796-ENSG00000112149,0.0,0.0,0.0,0.0
ENSG00000107018-ENSG00000154188,0.0,0.0,0.0,0.0
ENSG00000173535-ENSG00000174175,0.0,-1.0,0.0,0.0
ENSG00000101200-ENSG00000196352,0.0,0.0,0.0,0.0
ENSG00000110148-ENSG00000275718,0.0,0.0,0.0,0.0
ENSG00000121807-ENSG00000196411,0.0,-1.0,0.0,0.0
ENSG00000141655-ENSG00000185896,0.0,0.0,0.0,0.0
ENSG00000139514-ENSG00000196937,0.0,0.0,0.0,0.0
ENSG00000117091-ENSG00000130427,0.0,0.0,0.0,0.0
ENSG00000140285-ENSG00000184916,0.0,0.0,0.0,0.0
ENSG00000106113-ENSG00000185559,0.0,-1.0,0.0,0.0
ENSG00000126262-ENSG00000149932,0.0,0.0,0.0,0.0
ENSG00000136487-ENSG00000181195,0.0,-1.0,0.0,0.0
ENSG00000070031-ENSG00000187094,0.0,0.0,0.0,0.0
ENSG00000066468-ENSG00000148346,0.0,0.0,0.0,0.0
ENSG00000106113-ENSG00000112149,0.0,0.0,0.0,0.0
ENSG00000137801-ENSG00000170558,0.0,0.0,0.0,0.0
ENSG00000069702-ENSG00000110400,0.0,0.0,0.0,0.0
ENSG00000170128-ENSG00000240505,0.0,0.0,0.0,0.0
ENSG00000126010-ENSG00000143125,0.0,0.0,0.0,0.0
ENSG00000030582-ENSG00000060656,0.0,-1.0,0.0,0.0
ENSG00000137801-ENSG00000157873,0.0,-1.0,0.0,0.0
ENSG00000101405-ENSG00000107018,0.0,0.0,0.0,0.0
ENSG00000118137-ENSG00000134250,0.0,0.0,0.0,0.0
ENSG00000114739-ENSG00000161921,0.0,-1.0,0.0,0.0
ENSG00000123496-ENSG00000158769,0.0,0.0,0.0,0.0
ENSG00000134250-ENSG00000163377,0.0,0.0,0.0,0.0
ENSG00000046604-ENSG00000180914,0.0,0.0,0.0,0.0
ENSG00000065361-ENSG00000109943,0.0,0.0,0.0,0.0
ENSG00000133216-ENSG00000169836,0.0,0.0,0.0,0.0
ENSG00000101292-ENSG00000128564,0.0,0.0,0.0,0.0
ENSG00000109255-ENSG00000276085,0.0,-1.0,0.0,0.0
ENSG00000134853-ENSG00000232629,0.0,0.0,0.0,0.0
ENSG00000139187-ENSG00000174417,0.0,0.0,0.0,0.0
ENSG00000104332-ENSG00000139269,0.0,0.0,0.0,0.0
ENSG00000074181-ENSG00000138675,0.0,-1.0,0.0,0.0
ENSG00000090776-ENSG00000182580,0.0,-1.0,0.0,0.0
ENSG00000120949-ENSG00000141655,0.0,0.0,0.0,0.0
ENSG00000099250-ENSG00000226979,0.0,0.0,0.0,0.0
ENSG00000157873-ENSG00000171208,0.0,-1.0,0.0,0.0
ENSG00000106018-ENSG00000167613,0.0,0.0,0.0,0.0
ENSG00000135218-ENSG00000240505,0.0,0.0,0.0,0.0
ENSG00000133067-ENSG00000162344,0.0,0.0,0.0,0.0
ENSG00000136244-ENSG00000156234,0.0,-1.0,0.0,0.0
ENSG00000116329-ENSG00000184349,0.0,-1.0,0.0,0.0
ENSG00000164040-ENSG00000187323,0.0,-1.0,0.0,0.0
ENSG00000118702-ENSG00000161509,0.0,-1.0,0.0,0.0
ENSG00000069702-ENSG00000139193,0.0,0.0,0.0,0.0
ENSG00000011028-ENSG00000116329,0.0,0.0,0.0,0.0
ENSG00000119699-ENSG00000136487,0.0,-1.0,0.0,0.0
ENSG00000106123-ENSG00000111424,0.0,0.0,0.0,0.0
ENSG00000011422-ENSG00000239961,0.0,0.0,0.0,0.0
ENSG00000144407-ENSG00000174808,0.0,0.0,0.0,0.0
ENSG00000123496-ENSG00000134853,0.0,0.0,0.0,0.0
ENSG00000106123-ENSG00000181195,0.0,0.0,0.0,0.0
ENSG00000143217-ENSG00000156687,0.0,0.0,0.0,0.0
ENSG00000254647-ENSG00000260314,0.0,0.0,0.0,0.0
ENSG00000113889-ENSG00000183395,0.0,0.0,0.0,0.0
ENSG00000122223-ENSG00000154764,0.0,0.0,0.0,0.0
ENSG00000147571-ENSG00000259384,0.0,0.0,0.0,0.0
ENSG00000072071-ENSG00000155011,0.0,0.0,0.0,0.0
ENSG00000115596-ENSG00000134250,0.0,0.0,0.0,0.0
ENSG00000139549-ENSG00000151882,0.0,-1.0,0.0,0.0
ENSG00000111796-ENSG00000160867,0.0,-1.0,0.0,0.0
ENSG00000117335-ENSG00000167601,0.0,-1.0,0.0,0.0
ENSG00000139193-ENSG00000186265,0.0,-1.0,0.0,0.0
ENSG00000120949-ENSG00000225950,0.0,0.0,0.0,0.0
ENSG00000119699-ENSG00000128567,0.0,0.0,0.0,0.0
ENSG00000148926-ENSG00000170128,0.0,0.0,0.0,0.0
ENSG00000049130-ENSG00000169218,0.0,-1.0,0.0,0.0
ENSG00000106327-ENSG00000145431,0.0,0.0,0.0,0.0
ENSG00000168758-ENSG00000276085,0.0,0.0,0.0,0.0
ENSG00000106178-ENSG00000134765,0.0,-1.0,0.0,0.0
ENSG00000149564-ENSG00000168081,0.0,-1.0,0.0,0.0
ENSG00000142627-ENSG00000164022,0.0,0.0,0.0,0.0
ENSG00000138675-ENSG00000167996,0.0,0.0,0.0,0.0
ENSG00000134250-ENSG00000188404,0.0,0.0,0.0,0.0
ENSG00000011028-ENSG00000213809,0.0,0.0,0.0,0.0
ENSG00000147852-ENSG00000204936,0.0,0.0,0.0,0.0
ENSG00000134755-ENSG00000159618,0.0,0.0,0.0,0.0
ENSG00000090339-ENSG00000168079,0.0,0.0,0.0,0.0
ENSG00000125735-ENSG00000148926,0.0,-1.0,0.0,0.0
ENSG00000070388-ENSG00000128564,0.0,0.0,0.0,0.0
ENSG00000162337-ENSG00000186895,0.0,0.0,0.0,0.0
ENSG00000103855-ENSG00000175505,0.0,-1.0,0.0,0.0
ENSG00000069493-ENSG00000146469,0.0,0.0,0.0,0.0
ENSG00000062038-ENSG00000112164,0.0,0.0,0.0,0.0
ENSG00000105329-ENSG00000110876,0.0,-1.0,0.0,0.0
ENSG00000070018-ENSG00000105976,0.0,0.0,0.0,0.0
ENSG00000067182-ENSG00000137252,0.0,-1.0,0.0,0.0
ENSG00000118257-ENSG00000142512,0.0,0.0,0.0,0.0
ENSG00000092445-ENSG00000154342,0.0,0.0,0.0,0.0
ENSG00000106483-ENSG00000170893,0.0,0.0,0.0,0.0
ENSG00000115009-ENSG00000197635,0.0,-1.0,0.0,0.0
ENSG00000105426-ENSG00000171631,0.0,0.0,0.0,0.0
ENSG00000099250-ENSG00000134245,0.0,-1.0,0.0,0.0
ENSG00000133636-ENSG00000137252,0.0,-1.0,0.0,0.0
ENSG00000062038-ENSG00000139514,0.0,0.0,0.0,0.0
ENSG00000078549-ENSG00000143126,0.0,-1.0,0.0,0.0
ENSG00000167613-ENSG00000174808,0.0,0.0,0.0,0.0
ENSG00000148346-ENSG00000273079,0.0,0.0,0.0,0.0
ENSG00000090554-ENSG00000101384,0.0,0.0,0.0,0.0
ENSG00000133105-ENSG00000135218,0.0,0.0,0.0,0.0
ENSG00000046604-ENSG00000168758,0.0,0.0,0.0,0.0
ENSG00000122218-ENSG00000132671,0.0,0.0,0.0,0.0
ENSG00000169252-ENSG00000176697,0.0,0.0,0.0,0.0
ENSG00000105976-ENSG00000170558,0.0,-1.0,0.0,0.0
ENSG00000105220-ENSG00000182580,0.0,0.0,0.0,0.0
ENSG00000101017-ENSG00000189056,0.0,0.0,0.0,0.0
ENSG00000138685-ENSG00000159618,0.0,0.0,0.0,0.0
