,adj1,adj2,adj3,adj4,sum
ENSG00000143590-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000148400-ENSG00000184916,1.0,1.0,1.0,1.0,1111
ENSG00000136487-ENSG00000112964,1.0,1.0,1.0,1.0,1111
ENSG00000141433-ENSG00000078549,1.0,1.0,1.0,1.0,1111
ENSG00000157168-ENSG00000171208,1.0,1.0,1.0,1.0,1111
ENSG00000167601-ENSG00000183087,1.0,1.0,1.0,1.0,1111
ENSG00000099617-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000205213-ENSG00000146374,1.0,1.0,1.0,1.0,1111
ENSG00000176697-ENSG00000134243,1.0,1.0,1.0,1.0,1111
ENSG00000167244-ENSG00000197081,1.0,1.0,1.0,1.0,1111
ENSG00000105426-ENSG00000140538,1.0,1.0,1.0,1.0,1111
ENSG00000112715-ENSG00000273079,1.0,1.0,1.0,1.0,1111
ENSG00000118257-ENSG00000075223,1.0,1.0,1.0,1.0,1111
ENSG00000102755-ENSG00000173511,1.0,1.0,1.0,1.0,1111
ENSG00000100311-ENSG00000123384,1.0,1.0,1.0,1.0,1111
ENSG00000147655-ENSG00000205213,1.0,1.0,1.0,1.0,1111
ENSG00000100311-ENSG00000113721,1.0,1.0,1.0,1.0,1111
ENSG00000105894-ENSG00000105426,1.0,1.0,1.0,1.0,1111
ENSG00000072274-ENSG00000091513,1.0,1.0,1.0,1.0,1111
ENSG00000110400-ENSG00000162706,1.0,1.0,1.0,1.0,1111
ENSG00000154928-ENSG00000090776,1.0,1.0,1.0,1.0,1111
ENSG00000066468-ENSG00000116106,1.0,1.0,1.0,1.0,1111
ENSG00000105894-ENSG00000106278,1.0,1.0,1.0,1.0,1111
ENSG00000113721-ENSG00000170962,1.0,1.0,1.0,1.0,1111
ENSG00000092445-ENSG00000183087,1.0,1.0,1.0,1.0,1111
ENSG00000178568-ENSG00000113070,1.0,1.0,1.0,1.0,1111
ENSG00000196576-ENSG00000187764,1.0,1.0,1.0,1.0,1111
ENSG00000139874-ENSG00000157005,1.0,1.0,1.0,1.0,1111
ENSG00000184349-ENSG00000145242,1.0,1.0,1.0,1.0,1111
ENSG00000241563-ENSG00000132671,1.0,1.0,1.0,1.0,1111
ENSG00000182580-ENSG00000090776,1.0,1.0,1.0,1.0,1111
ENSG00000154764-ENSG00000162998,1.0,1.0,1.0,1.0,1111
ENSG00000134259-ENSG00000134243,1.0,1.0,1.0,0.0,1110
ENSG00000099250-ENSG00000173511,1.0,1.0,1.0,0.0,1110
ENSG00000105329-ENSG00000169083,1.0,1.0,0.0,1.0,1101
ENSG00000196576-ENSG00000105894,1.0,1.0,0.0,1.0,1101
ENSG00000112715-ENSG00000128052,1.0,1.0,0.0,1.0,1101
ENSG00000239697-ENSG00000215788,1.0,1.0,0.0,0.0,1100
ENSG00000105894-ENSG00000171094,1.0,1.0,0.0,0.0,1100
ENSG00000187094-ENSG00000110148,1.0,0.0,1.0,1.0,1011
ENSG00000148400-ENSG00000018236,1.0,0.0,1.0,1.0,1011
ENSG00000162706-ENSG00000177707,1.0,0.0,1.0,1.0,1011
ENSG00000132671-ENSG00000157005,1.0,0.0,1.0,1.0,1011
ENSG00000044524-ENSG00000143590,1.0,0.0,1.0,1.0,1011
ENSG00000159899-ENSG00000163273,1.0,0.0,1.0,0.0,1010
ENSG00000138685-ENSG00000077782,1.0,0.0,1.0,0.0,1010
ENSG00000118257-ENSG00000001617,1.0,0.0,1.0,0.0,1010
ENSG00000183150-ENSG00000168913,1.0,0.0,1.0,0.0,1010
ENSG00000157168-ENSG00000105699,1.0,0.0,1.0,0.0,1010
ENSG00000169242-ENSG00000145242,1.0,0.0,1.0,0.0,1010
ENSG00000130202-ENSG00000177707,1.0,0.0,0.0,1.0,1001
ENSG00000019582-ENSG00000142192,1.0,0.0,0.0,1.0,1001
ENSG00000120156-ENSG00000154188,1.0,0.0,0.0,0.0,1000
ENSG00000138685-ENSG00000066468,1.0,0.0,0.0,0.0,1000
ENSG00000101384-ENSG00000074181,1.0,0.0,0.0,0.0,1000
ENSG00000070193-ENSG00000066468,1.0,0.0,0.0,0.0,1000
ENSG00000164690-ENSG00000164161,1.0,0.0,0.0,0.0,1000
ENSG00000074181-ENSG00000184916,0.0,1.0,1.0,1.0,111
ENSG00000065361-ENSG00000157168,0.0,1.0,1.0,1.0,111
ENSG00000197461-ENSG00000134853,0.0,1.0,1.0,1.0,111
ENSG00000072071-ENSG00000157168,0.0,1.0,1.0,1.0,111
ENSG00000134250-ENSG00000018236,0.0,1.0,1.0,1.0,111
ENSG00000105329-ENSG00000069702,0.0,1.0,1.0,1.0,111
