,adj1,adj2,adj3,adj4,sum
ENSG00000011600-ENSG00000026508,1.0,1.0,1.0,0.0,1110
ENSG00000157168-ENSG00000105699,1.0,1.0,1.0,0.0,1110
ENSG00000066468-ENSG00000070388,1.0,1.0,1.0,0.0,1110
ENSG00000259384-ENSG00000112964,1.0,1.0,0.0,1.0,1101
ENSG00000105894-ENSG00000106278,1.0,1.0,0.0,1.0,1101
ENSG00000116329-ENSG00000181195,1.0,1.0,0.0,1.0,1101
ENSG00000136487-ENSG00000112964,1.0,1.0,0.0,1.0,1101
ENSG00000137642-ENSG00000142192,1.0,1.0,0.0,1.0,1101
ENSG00000143324-ENSG00000066468,1.0,1.0,0.0,1.0,1101
ENSG00000169836-ENSG00000166863,1.0,1.0,0.0,1.0,1101
ENSG00000259384-ENSG00000113494,1.0,1.0,0.0,1.0,1101
ENSG00000088367-ENSG00000162706,1.0,1.0,0.0,1.0,1101
ENSG00000105767-ENSG00000162706,1.0,1.0,0.0,1.0,1101
ENSG00000105894-ENSG00000105426,1.0,1.0,0.0,0.0,1100
ENSG00000142192-ENSG00000019582,1.0,1.0,0.0,0.0,1100
ENSG00000170075-ENSG00000197746,1.0,1.0,0.0,0.0,1100
ENSG00000114812-ENSG00000146469,1.0,1.0,0.0,0.0,1100
ENSG00000197635-ENSG00000146469,1.0,1.0,0.0,0.0,1100
ENSG00000145423-ENSG00000111186,1.0,1.0,0.0,0.0,1100
ENSG00000148400-ENSG00000198719,1.0,1.0,0.0,0.0,1100
ENSG00000072274-ENSG00000091513,1.0,1.0,0.0,0.0,1100
ENSG00000170558-ENSG00000170558,1.0,0.0,1.0,1.0,1011
ENSG00000134243-ENSG00000030582,1.0,0.0,1.0,1.0,1011
ENSG00000081138-ENSG00000081138,1.0,0.0,1.0,1.0,1011
ENSG00000113361-ENSG00000113361,1.0,0.0,1.0,1.0,1011
ENSG00000149564-ENSG00000149564,1.0,0.0,1.0,1.0,1011
ENSG00000163377-ENSG00000060656,1.0,0.0,1.0,1.0,1011
ENSG00000198910-ENSG00000198910,1.0,0.0,1.0,1.0,1011
ENSG00000181195-ENSG00000082556,1.0,0.0,1.0,0.0,1010
ENSG00000138685-ENSG00000066468,1.0,0.0,1.0,0.0,1010
ENSG00000108947-ENSG00000196411,1.0,0.0,1.0,0.0,1010
ENSG00000090776-ENSG00000116106,1.0,0.0,1.0,0.0,1010
ENSG00000139514-ENSG00000184371,1.0,0.0,0.0,1.0,1001
ENSG00000064300-ENSG00000185652,1.0,0.0,0.0,1.0,1001
ENSG00000104332-ENSG00000188064,1.0,0.0,0.0,1.0,1001
ENSG00000148400-ENSG00000018236,1.0,0.0,0.0,1.0,1001
ENSG00000179776-ENSG00000179776,1.0,0.0,0.0,1.0,1001
ENSG00000182578-ENSG00000184371,1.0,0.0,0.0,1.0,1001
ENSG00000184371-ENSG00000008300,1.0,0.0,0.0,0.0,1000
ENSG00000106018-ENSG00000146469,1.0,0.0,0.0,0.0,1000
ENSG00000134250-ENSG00000018236,1.0,0.0,0.0,0.0,1000
ENSG00000120057-ENSG00000158955,1.0,0.0,0.0,0.0,1000
ENSG00000138685-ENSG00000068078,1.0,0.0,0.0,0.0,1000
ENSG00000011028-ENSG00000163377,1.0,0.0,0.0,0.0,1000
ENSG00000158955-ENSG00000145423,1.0,0.0,0.0,0.0,1000
ENSG00000172349-ENSG00000183454,1.0,0.0,0.0,0.0,1000
ENSG00000111186-ENSG00000156076,1.0,0.0,0.0,0.0,1000
ENSG00000145423-ENSG00000105989,1.0,0.0,0.0,0.0,1000
ENSG00000134259-ENSG00000064300,1.0,0.0,0.0,0.0,1000
ENSG00000134245-ENSG00000145423,1.0,0.0,0.0,0.0,1000
ENSG00000141433-ENSG00000197635,0.0,1.0,1.0,1.0,111
ENSG00000141433-ENSG00000078549,0.0,1.0,1.0,1.0,111
ENSG00000162552-ENSG00000162998,0.0,1.0,1.0,1.0,111
ENSG00000134853-ENSG00000197461,0.0,1.0,1.0,1.0,111
ENSG00000162552-ENSG00000128602,0.0,1.0,1.0,1.0,111
ENSG00000105426-ENSG00000188157,0.0,1.0,1.0,1.0,111
ENSG00000187323-ENSG00000065320,0.0,1.0,1.0,1.0,111
ENSG00000100311-ENSG00000123384,0.0,1.0,1.0,1.0,111
ENSG00000135333-ENSG00000114251,0.0,1.0,1.0,1.0,111
ENSG00000104332-ENSG00000162552,0.0,1.0,1.0,1.0,111
ENSG00000070018-ENSG00000171243,0.0,1.0,1.0,1.0,111
ENSG00000240972-ENSG00000146648,0.0,1.0,1.0,1.0,111
ENSG00000154639-ENSG00000196937,0.0,1.0,1.0,1.0,111
ENSG00000101958-ENSG00000196937,0.0,1.0,1.0,1.0,111
ENSG00000134250-ENSG00000185559,0.0,1.0,1.0,1.0,111
ENSG00000116106-ENSG00000184349,0.0,1.0,1.0,1.0,111
ENSG00000099250-ENSG00000173511,0.0,1.0,1.0,1.0,111
